300 0.03
305 1.66
310 3.29
315 11.77
320 20.24
325 28.64
330 37.05
335 38.5
340 39.95
345 42.43
350 44.91
355 45.78
360 46.64
365 49.36
370 52.09
375 51.03
380 49.98
385 52.31
390 54.65
395 68.7
400 82.75
405 87.12
410 91.49
415 92.46
420 93.43
425 90.06
430 86.68
435 95.77
440 104.87
445 110.94
450 117.01
455 117.41
460 117.81
465 116.34
470 114.86
475 115.39
480 115.92
485 112.37
490 108.81
495 109.08
500 109.35
505 108.58
510 107.8
515 106.3
520 104.79
525 106.24
530 107.69
535 106.05
540 104.41
545 104.23
550 104.05
555 102.02
560 100
565 98.17
570 96.33
575 96.06
580 95.79
585 92.24
590 88.69
595 89.35
600 90.01
605 89.8
610 89.6
615 88.65
620 87.7
625 85.49
630 83.29
635 83.49
640 83.7
645 81.86
650 80.03
655 80.12
660 80.21
665 81.25
670 82.28
675 80.28
680 78.28
685 74
690 69.72
695 70.67
700 71.61
705 72.98
710 74.35
715 67.98
720 61.6
725 65.74
730 69.89
735 72.49
740 75.09
745 69.34
750 63.59
755 55.01
760 46.42
765 56.61
770 66.81
775 65.09
780 63.38
785 63.84
790 64.3
795 61.88
800 59.45
805 55.71
810 51.96
815 54.7
820 57.44
825 58.88
830 60.31
